district_name,district_lon,district_lat,nearest_mall_name,mall_lon,mall_lat,distance_m,distance_km
المحمدية,46.650195521731824,24.732606341663455,Unnamed Mall,46.648850849999995,24.7322187,142.64491054157907,0.14264491054157907
المعذر الشمالي,46.66673375908196,24.69112983211758,بانوراما مول,46.669474955926354,24.69245835893743,314.01063039916954,0.31401063039916954
الضباط,46.722336722718815,24.678410963257022,Al Shoalah Commercial Center,46.71907699568872,24.676366051954645,400.185833642586,0.400185833642586
اليرموك,46.782851690100586,24.808076310392206,Unnamed Mall,46.778613417458814,24.809047835463193,441.8211721790141,0.4418211721790141
جبرة,46.71861283374058,24.625458242294766,Unnamed Mall,46.71872089797586,24.62978118683418,478.9536453188758,0.4789536453188758
العمل,46.72252937064575,24.645902503993458,فلاجيو,46.71726216942252,24.646240800036935,534.5387326666158,0.5345387326666158
الوزارات,46.713843192117956,24.677762218778565,Al Shoalah Commercial Center,46.71907699568872,24.676366051954645,551.8236018566795,0.5518236018566794
المؤتمرات,46.686594144088595,24.670344102874285,التخصصي بلازا,46.683455930945456,24.666088265797274,568.4204445407278,0.5684204445407278
سلام,46.70852208698256,24.621105110702203,Unnamed Mall,46.70778853226883,24.615954863179237,575.2764876482754,0.5752764876482754
النخيل,46.62492105590012,24.743260171248473,U Walk,46.62881993364023,24.73837774851979,669.3212682679654,0.6693212682679653
الوسيطا,46.71572407976068,24.62432961305691,Unnamed Mall,46.71872089797586,24.62978118683418,675.7894825138477,0.6757894825138477
الدوبية,46.71190789758365,24.621289206698545,Unnamed Mall,46.70778853226883,24.615954863179237,723.2493555452442,0.7232493555452442
المرقب,46.72274620847137,24.635766831301435,مركز بن سليمان التجاري,46.7158297706429,24.63398541068438,727.5156788208716,0.7275156788208715
الشميسي,46.7002825465542,24.624806220765727,مركز التعمير,46.70740384315077,24.627332723015584,773.4345086915158,0.7734345086915159
شبرا,46.66937811489503,24.57736128185719,السدحان شبرا,46.66638348899114,24.570853116996823,782.0716564957928,0.7820716564957928
السويدي الغربي,46.62488534498323,24.573717662016985,مجمع ريماس الرياض,46.63220151494895,24.57680111883613,815.9513092501004,0.8159513092501004
الجرادية,46.69943943117922,24.614845401518508,Unnamed Mall,46.70778853226883,24.615954863179237,854.3042316658851,0.8543042316658851
معكال,46.71451012835164,24.622660055694244,مركز التعمير,46.70740384315077,24.627332723015584,886.3308838581548,0.8863308838581548
البطيحا,46.7200916674243,24.621735435424135,Unnamed Mall,46.71872089797586,24.62978118683418,901.9263502547952,0.9019263502547953
الورود,46.67847660598901,24.724444854434388,سوق الأندلس,46.6713109226908,24.71900423847344,942.7232916482401,0.9427232916482401
العود,46.72738683188815,24.626601178113404,Unnamed Mall,46.71872089797586,24.62978118683418,945.4804335453421,0.9454804335453421
النسيم الغربي,46.8239671586742,24.725661773240898,المنار مول,46.8144691,24.7252799,961.8973881989825,0.9618973881989825
الرحمانية,46.659323645733544,24.716137171878874,رويال مول,46.66457585910033,24.723584387412767,981.2166991857536,0.9812166991857536
السكيرينه,46.71749820272202,24.616591968184746,Unnamed Mall,46.70778853226883,24.615954863179237,985.7154237217574,0.9857154237217574
صياح,46.70253484557041,24.60809916971597,القصر مول,46.69764998627957,24.600258358974195,999.4763689388866,0.9994763689388866
الحمراء,46.75317871522089,24.775491358967585,Al Hamra Square - الحمراء سكوير,46.7545927,24.7665277,1003.1337600913155,1.0031337600913155
عتيقه,46.707849991077275,24.599129933131163,القصر مول,46.69764998627957,24.600258358974195,1040.502708825372,1.0405027088253722
المغرزات,46.725697650374265,24.764100657441706,النخيل مول,46.71580777927342,24.767100527755655,1053.9921728403795,1.0539921728403794
سلطانة,46.68816859948997,24.604359078174586,القصر مول,46.69764998627957,24.600258358974195,1062.1812169985594,1.0621812169985594
الزهراء,46.73017101043759,24.686406408143373,الخليج مول,46.72826537852148,24.69598351571425,1078.2032161690688,1.078203216169069
الأندلس,46.78861284903425,24.74347826241503,خريص مول khurais mall,46.797540611519274,24.738120171484095,1080.7085410271657,1.0807085410271657
الملك فهد,46.6703534696634,24.74063107140206,مارينا مول,46.66050516264786,24.744860577828714,1100.8540278833368,1.1008540278833367
أم سليم,46.69829791244585,24.63383354697662,مركز المعيقلية التجاري,46.70862351439401,24.630474824392092,1109.64025141574,1.10964025141574
منفوحة الجديدة,46.718479159590935,24.61278766208016,Unnamed Mall,46.70778853226883,24.615954863179237,1137.957187724386,1.137957187724386
الربيع,46.66129559207477,24.795391295633962,Unnamed Mall,46.65139977333658,24.800675030497352,1159.14978120016,1.15914978120016
الدريهمية,46.69629737420351,24.589755163605144,القصر مول,46.69764998627957,24.600258358974195,1171.4023508027944,1.1714023508027944
النموذجية,46.694680049309724,24.657186437020815,لولو هايبر ماركت,46.703749636301644,24.66392002649131,1182.826842426293,1.182826842426293
المنصوره,46.74509580067972,24.608861210266234,هايبر نستو,46.74783215401603,24.598459481526433,1185.0087700847694,1.1850087700847693
ثليم,46.72771322644192,24.64100097498069,فلاجيو,46.71726216942252,24.646240800036935,1206.7652567310306,1.2067652567310305
النفل,46.67327905017971,24.781900832461805,تالا مول,46.66889119534527,24.771766781037268,1207.014063411202,1.2070140634112019
نمار,46.6784463113881,24.56916201539557,السدحان شبرا,46.66638348899114,24.570853116996823,1236.1642549421636,1.2361642549421636
الصحافة,46.638999879128335,24.799945005308615,Unnamed Mall,46.65139977333658,24.800675030497352,1256.317630315208,1.256317630315208
الياسمين,46.64383024017394,24.822773520303766,الياسمين بلازا,46.65624406218193,24.823699500564484,1259.0768863506462,1.2590768863506463
حي الفيحاء,46.811459402155904,24.681926742814298,أسواق الرشيد,46.80801035436643,24.693139532362185,1290.156631634973,1.290156631634973
اشبيلية,46.79210127634764,24.79235354722605,Unnamed Mall,46.803984758140736,24.79673019781418,1295.7481682024256,1.2957481682024257
القدس,46.7538944602963,24.75478775716185,Al Hamra Square - الحمراء سكوير,46.7545927,24.7665277,1302.3270847123529,1.302327084712353
المرسلات,46.689908489134964,24.748867012065297,صحارى مول,46.682788152169834,24.73875134329594,1331.986888908186,1.331986888908186
At Turayf Al Jadid,46.57557524516404,24.744123062218787,Unnamed Mall,46.585061280942774,24.7526394471392,1345.4954630241077,1.3454954630241078
الازدهار,46.71745961736039,24.780612329488417,غرناطه مول,46.7308063,24.7817924,1356.006362107183,1.356006362107183
المروج,46.66194998959365,24.757242098509966,قرية صويلح,46.673905711119204,24.751564812910956,1362.9922512467592,1.3629922512467592
الملك فيصل,46.77508668779908,24.761743617147168,الحمراء مول,46.77622374873662,24.774046018094502,1367.5713477402583,1.3675713477402582
الزهرة,46.64572258764156,24.578674587979148,مجمع ريماس الرياض,46.63220151494895,24.57680111883613,1385.1308811569497,1.3851308811569498
حي الجزيرة,46.79640635161132,24.665100481767002,مرجان السعودية,46.794453208806,24.652614282421023,1397.1400239408258,1.3971400239408258
المونسية,46.76854798627583,24.832045913246073,Unnamed Mall,46.77288880000001,24.820013350000004,1403.2236707471118,1.4032236707471117
الندى,46.68297115550699,24.805857550408696,عالية بلازا,46.66927584948353,24.80825500628354,1409.8655207889556,1.4098655207889557
حي المنار,46.797278958633136,24.725365189542707,خريص مول khurais mall,46.797540611519274,24.738120171484095,1413.1148789616518,1.4131148789616519
النزهة,46.70788340644431,24.756425152069948,النخيل مول,46.71580777927342,24.767100527755655,1428.4955317379518,1.4284955317379517
العريجاء الوسطى,46.637721795432114,24.607655530527705,سوق الرياض الدولي,46.63277682748986,24.595492216347647,1437.26808352416,1.43726808352416
أم الحمام الشرقي,46.65941144922213,24.683188939907268,بانوراما مول,46.669474955926354,24.69245835893743,1446.1296541065942,1.4461296541065942
المصيف,46.68152463834954,24.765479497363454,تالا مول,46.66889119534527,24.771766781037268,1455.1341506611247,1.4551341506611248
قرطبة,46.73387547102593,24.81536225455538,بارك افنيو مول,46.72839094609429,24.82752457745235,1456.826790012838,1.456826790012838
الغدير,46.65399758035098,24.773580930583172,تالا مول,46.66889119534527,24.771766781037268,1519.5335506974013,1.5195335506974013
السلام,46.810937308985864,24.707244256865263,أسواق الرشيد,46.80801035436643,24.693139532362185,1590.2080956834154,1.5902080956834155
جامعة الملك سعود,46.62433831000731,24.72453711821315,U Walk,46.62881993364023,24.73837774851979,1598.644700131937,1.598644700131937
الروضة,46.7670680441258,24.734092563281536,Unnamed Mall,46.75615946589912,24.723606766138204,1602.196124202218,1.602196124202218
صلاح الدين,46.69782424149878,24.732718168985674,صحارى مول,46.682788152169834,24.73875134329594,1661.3895604104277,1.6613895604104278
الملك عبدالله,46.743495943289,24.733159776442278,Unnamed Mall,46.75615946589912,24.723606766138204,1661.6514558925824,1.6616514558925823
الوشام,46.698292254674236,24.642356521507928,مركز المعيقلية التجاري,46.70862351439401,24.630474824392092,1681.0840657161905,1.6810840657161905
ظهرة البديعة,46.649251215921645,24.59776714651476,سوق الرياض الدولي,46.63277682748986,24.595492216347647,1687.3010610182073,1.6873010610182073
الصالحية,46.73585455249442,24.630346635759935,Unnamed Mall,46.71872089797586,24.62978118683418,1735.8781282062096,1.7358781282062095
غرناطة,46.74431333854246,24.79191379325946,مركز غرناطة,46.731005749647,24.78180205481311,1750.8249212585029,1.7508249212585028
التعاون,46.69949841536839,24.773054563130717,النخيل مول,46.71580777927342,24.767100527755655,1776.3910275037242,1.7763910275037242
حي الروابي,46.79034392940087,24.6952837611897,أسواق الرشيد,46.80801035436643,24.693139532362185,1803.5402413257775,1.8035402413257775
الصفا,46.765647063250825,24.66700813975002,أسواق المجد,46.77603025759939,24.680374802456882,1815.658842708056,1.815658842708056
العقيق,46.62998343834347,24.773616932903924,الرياض بارك,46.630009548883706,24.75683917079611,1858.3446064760722,1.8583446064760722
حطين,46.60065138813418,24.76216396433052,Unnamed Mall,46.585061280942774,24.7526394471392,1897.13272059414,1.89713272059414
اليمامة,46.71672798259995,24.595427062218114,القصر مول,46.69764998627957,24.600258358974195,2004.8255864900855,2.0048255864900857
الربوة,46.75670264554743,24.69326279871676,العثيم مول,46.7748506,24.6857467,2016.4916132331912,2.016491613233191
منفوحة,46.727823043318885,24.599207913365237,هايبر نستو,46.74783215401603,24.598459481526433,2028.0899112686618,2.028089911268662
السليمانية,46.70382428542775,24.700664291527115,سنتريا مول,46.683835965466535,24.697558844719186,2051.6732358183,2.0516732358183
غبيرا,46.735001713299944,24.617934145289272,Unnamed Mall,46.71872089797586,24.62978118683418,2107.00032361521,2.10700032361521
الملز,46.73439909037717,24.66270795932777,Al Shoalah Commercial Center,46.71907699568872,24.676366051954645,2166.52077195076,2.16652077195076
ظهرة نمار,46.615801123828355,24.557603919985702,سلام مول,46.63738855635428,24.558257200344073,2188.0408163318457,2.1880408163318457
حي الخليج,46.80345603527507,24.776827649030395,Unnamed Mall,46.803984758140736,24.79673019781418,2205.2715072579617,2.2052715072579616
عليشه,46.685146631530934,24.632003404394435,مركز التعمير,46.70740384315077,24.627332723015584,2312.09613695481,2.31209613695481
الحزم,46.646148675852814,24.53791186623726,سلام مول,46.63738855635428,24.558257200344073,2421.909717903745,2.4219097179037448
البديعة,46.68258715719584,24.617294691604126,القصر مول,46.69764998627957,24.600258358974195,2426.3813320700588,2.4263813320700587
العريجاء الغربية,46.603683288549355,24.59978824470313,ساكو,46.605901145086634,24.57791820329345,2432.6873055840515,2.4326873055840514
السويدي,46.673092775014915,24.592213858584962,السدحان شبرا,46.66638348899114,24.570853116996823,2461.603665333929,2.4616036653339286
